,cv_r2_mean,cv_r2_std,mse,mae,r2
Random Forest,-2.408429058084772,2.6049638454833444,1.0771799999999998,0.8766666666666666,0.9422939285714286
KNN (k=3),-3.570748299319728,3.2852020044729273,4.859259259259258,1.688888888888889,0.7396825396825397
Lasso (α=0.1),-3.8719540137826107,3.7321191444533177,8.2613549667955,2.371629274767612,0.5574274124930982
Decision Tree,-4.7405023547880685,6.6824806962151495,0.0,0.0,1.0
KNN (k=5),-4.863302982731552,3.4261078650902994,8.538666666666666,2.3466666666666667,0.5425714285714287
ElasticNet,-5.7379223954046825,7.346519039995629,11.374984214060952,2.946792863134822,0.3906258456753062
Ridge (α=1.0),-6.017878934412458,7.949102113231765,11.345565860856603,2.9367050975660884,0.39220182888268196
SVM,-6.557233881413595,8.687234670902663,7.689166351548033,2.1610595113986864,0.5880803740242125
Regresión Lineal,-12.554450467178068,15.5508860070255,5.575202724717858,1.9045988639622484,0.7013284254615433
